incident_id,incidentEndDate,incidentBeginDate,count,bucket,states,UTC
91,2014-06-04,2014-06-01,11857,2.0,NE|IA,UTC-6
282,2014-08-23,2014-08-18,10001,2.0,CA,UTC-8
184,2014-09-09,2014-09-07,14827,2.0,NV|AZ,UTC-7
104,2015-03-14,2015-03-03,14355,2.0,WV,UTC-5
291,2015-07-28,2015-07-20,10553,2.0,WA,UTC-8
142,2016-01-23,2016-01-22,13441,2.0,VA|MD|DC|DE|PA,UTC-5
197,2016-04-30,2016-04-17,14532,2.0,TX,UTC-6
308,2016-07-09,2016-07-09,13130,2.0,CA,UTC-8
251,2012-07-10,2012-06-18,16429,3.0,MT|NM|UT|CO|WY,UTC-7
340,2013-04-22,2013-04-15,16291,3.0,MA,UTC-5
177,2013-09-30,2013-09-09,18314,3.0,NM|CO,UTC-7
82,2013-10-31,2013-10-30,15868,3.0,TX,UTC-6
274,2014-05-22,2014-05-14,16782,3.0,CA,UTC-8
93,2014-07-07,2014-06-26,16933,3.0,IA,UTC-6
183,2014-08-13,2014-08-11,15933,3.0,MI,UTC-5
109,2015-06-25,2015-06-17,16152,3.0,SD|IA,UTC-6
120,2016-01-24,2016-01-22,16212,3.0,NJ,UTC-5
300,2016-02-18,2016-02-18,17992,3.0,OK,UTC-6
121,2016-03-13,2016-03-08,18801,3.0,AR,UTC-6
242,2011-09-15,2011-09-02,21565,4.0,CA|NV,UTC-8
48,2011-10-29,2011-10-29,21651,4.0,NJ,UTC-5
265,2013-07-12,2013-06-18,22315,4.0,AZ|CO,UTC-7
266,2013-07-17,2013-06-30,20818,4.0,AZ|NV,UTC-7
269,2013-08-19,2013-07-27,20660,4.0,CA|OR|WA,UTC-8
112,2015-08-29,2015-08-29,22720,4.0,WA,UTC-8
298,2015-11-11,2015-11-11,24424,4.0,OK,UTC-6
203,2011-10-25,2011-08-23,28043,5.0,VA|DC,UTC-5
49,2011-10-30,2011-10-29,26067,5.0,CT|NH|MA,UTC-5
187,2015-04-17,2015-04-02,29840,5.0,KY,UTC-6
188,2015-04-15,2015-04-08,26214,5.0,WV,UTC-5
194,2016-02-01,2015-12-28,26786,5.0,LA,UTC-6
302,2016-04-06,2016-04-05,25466,5.0,OK|KS,UTC-6
198,2016-06-24,2016-05-22,26237,5.0,TX,UTC-6
306,2016-06-29,2016-06-19,25414,5.0,CA,UTC-8
310,2016-07-30,2016-07-22,27610,5.0,CA|NV,UTC-8
320,2013-11-17,2013-11-17,32460,6.0,IL,UTC-6
90,2014-06-10,2014-06-05,31158,6.0,TN,UTC-6
139,2014-11-26,2014-11-17,30623,6.0,NY,UTC-5
103,2015-01-28,2015-01-26,33238,6.0,NH|RI|CT|MA,UTC-5
141,2015-02-22,2015-02-15,33546,6.0,KY,UTC-6
297,2015-10-28,2015-10-13,32075,6.0,TX,UTC-6
193,2015-12-14,2015-12-01,33696,6.0,WA,UTC-8
61,2012-07-26,2012-06-23,37268,7.0,FL,UTC-5
73,2013-06-29,2013-06-19,38458,7.0,SD|MN|WI|IA,UTC-6
186,2015-03-09,2015-03-03,36223,7.0,KY,UTC-6
208,2015-11-29,2015-11-27,37240,7.0,OK,UTC-6
116,2015-12-23,2015-12-06,39021,7.0,OR,UTC-8
304,2016-06-10,2016-06-04,37044,7.0,CA|OR|AZ,UTC-8
163,2011-10-15,2011-09-03,41388,8.0,PA|MD,UTC-5
55,2012-03-05,2012-02-29,42580,8.0,KY|IN|WV|TN,UTC-6
263,2013-06-08,2013-05-31,44954,8.0,CA,UTC-8
89,2014-05-22,2014-05-13,41606,8.0,NY,UTC-5
115,2015-11-21,2015-11-12,42860,8.0,WA|ID,UTC-8
130,2014-02-20,2014-02-04,45952,9.0,PA,UTC-5
